   Time (years)    Recurrence (years)
   3.6467726e+01   2.0063310e+00
   3.8496053e+01   2.0283270e+00
   4.0799740e+01   2.3036870e+00
   4.3030636e+01   2.2308960e+00
   4.5738245e+01   2.7076090e+00
   4.8113410e+01   2.3751650e+00
   5.0102959e+01   1.9895490e+00
   5.2056380e+01   1.9534210e+00
   5.4301677e+01   2.2452970e+00
   5.6337250e+01   2.0355730e+00
   5.9245953e+01   2.9087030e+00
   6.1450790e+01   2.2048370e+00
   6.4051314e+01   2.6005240e+00
   6.6260412e+01   2.2090980e+00
   6.8298095e+01   2.0376830e+00
   7.0062639e+01   1.7645440e+00
   7.1990086e+01   1.9274470e+00
   7.4414619e+01   2.4245330e+00
   7.6779444e+01   2.3648250e+00
   8.0069095e+01   3.2896510e+00
   8.1743650e+01   1.6745550e+00
   8.2773781e+01   1.0301310e+00
   8.5154341e+01   2.3805600e+00
   8.8331877e+01   3.1775360e+00
   9.0437623e+01   2.1057460e+00
   9.2234526e+01   1.7969030e+00
   9.3345970e+01   1.1114440e+00
   9.5647245e+01   2.3012750e+00
   9.7911775e+01   2.2645300e+00
   9.9336181e+01   1.4244060e+00
   1.0164407e+02   2.3078890e+00
   1.0393574e+02   2.2916700e+00
   1.0565432e+02   1.7185800e+00
   1.0765256e+02   1.9982400e+00
   1.1065101e+02   2.9984500e+00
   1.1383041e+02   3.1794000e+00
   1.1683002e+02   2.9996100e+00
   1.1863863e+02   1.8086100e+00
   1.2002492e+02   1.3862900e+00
   1.2157367e+02   1.5487500e+00
   1.2317044e+02   1.5967700e+00
   1.2472277e+02   1.5523300e+00
   1.2643871e+02   1.7159400e+00
   1.3078635e+02   4.3476400e+00
   1.3394600e+02   3.1596500e+00
